PLAYER_ID,PLAYER_NAME,SEASON_NUMBER,SEASON_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PER_GAME,FGM_PER_GAME,FGA_PER_GAME,FG3M_PER_GAME,FG3A_PER_GAME,FTM_PER_GAME,FTA_PER_GAME,OREB_PER_GAME,DREB_PER_GAME,REB_PER_GAME,AST_PER_GAME,STL_PER_GAME,BLK_PER_GAME,TOV_PER_GAME,PF_PER_GAME,PTS_PER_GAME,PER,TS_PCT,THREE_PAR,FTR,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,STL_PCT,BLK_PCT,TOV_PCT,USG_PCT,OWS,DWS,WS,WS_PER_48,OBPM,DBPM,BPM,VORP
1630545,Terrence Shannon Jr.,1,2024-25,MIN,24.0,17,0,147.0,23,50,0.46,4,16,0.25,6,8,0.75,5,13,18,17,5,2,8,8,56,8.647058823529411,1.3529411764705883,2.9411764705882355,0.23529411764705882,0.9411764705882353,0.35294117647058826,0.47058823529411764,0.29411764705882354,0.7647058823529411,1.0588235294117647,1.0,0.29411764705882354,0.11764705882352941,0.47058823529411764,0.47058823529411764,3.2941176470588234,11.6,0.523,0.320,0.160,3.800,9.700,6.800,17.200,1.700,1.300,13.000,18.100,0.0,0.2,0.2,0.070,-2.4,0.8,-1.7,0.0
1628978,Donte DiVincenzo,1,2018-19,MIL,22.0,27,0,411.0,50,124,0.403,22,83,0.265,9,12,0.75,16,49,65,31,13,6,19,38,131,15.222222222222221,1.8518518518518519,4.592592592592593,0.8148148148148148,3.074074074074074,0.3333333333333333,0.4444444444444444,0.5925925925925926,1.8148148148148149,2.4074074074074074,1.1481481481481481,0.48148148148148145,0.2222222222222222,0.7037037037037037,1.4074074074074074,4.851851851851852,9.1,0.507,0.669,0.097,4.200,11.400,8.000,9.700,1.500,1.200,12.800,15.100,0.0,0.6,0.6,0.069,-2.8,0.6,-2.2,0.0
1628978,Donte DiVincenzo,2,2019-20,MIL,23.0,66,24,1520.0,232,510,0.455,83,247,0.336,63,86,0.733,66,252,318,154,85,20,90,113,610,23.03030303030303,3.515151515151515,7.7272727272727275,1.2575757575757576,3.742424242424242,0.9545454545454546,1.303030303030303,1.0,3.8181818181818183,4.818181818181818,2.3333333333333335,1.2878787878787878,0.30303030303030304,1.3636363636363635,1.7121212121212122,9.242424242424242,14.1,0.557,0.484,0.169,4.600,15.500,10.300,13.600,2.600,1.200,14.100,17.300,1.0,3.2,4.3,0.135,-1.1,2.4,1.3,1.3
1628978,Donte DiVincenzo,3,2020-21,MIL,24.0,66,66,1815.0,253,603,0.42,131,346,0.379,51,71,0.718,81,299,380,203,72,15,91,112,688,27.5,3.8333333333333335,9.136363636363637,1.9848484848484849,5.242424242424242,0.7727272727272727,1.0757575757575757,1.2272727272727273,4.53030303030303,5.757575757575758,3.0757575757575757,1.0909090909090908,0.22727272727272727,1.378787878787879,1.696969696969697,10.424242424242424,13.0,0.542,0.574,0.118,4.900,16.700,11.000,14.200,1.900,0.700,12.500,16.700,1.5,2.1,3.6,0.095,-0.2,0.4,0.2,1.0
1628978,Donte DiVincenzo,4,2021-22,MIL,25.0,17,0,341.0,39,118,0.331,21,74,0.284,23,27,0.852,18,42,60,29,11,3,28,26,122,20.058823529411764,2.2941176470588234,6.9411764705882355,1.2352941176470589,4.352941176470588,1.3529411764705883,1.588235294117647,1.0588235294117647,2.4705882352941178,3.5294117647058822,1.7058823529411764,0.6470588235294118,0.17647058823529413,1.6470588235294117,1.5294117647058822,7.176470588235294,11.3,0.510,0.649,0.247,4.300,14.000,9.100,16.100,2.300,0.700,16.200,18.900,-0.1,0.9,0.7,0.035,-1.8,-0.5,-2.3,-0.1
1628978,Donte DiVincenzo,5,2021-22,SAC,25.0,25,1,665.0,79,218,0.362,53,144,0.368,47,56,0.839,22,88,110,89,37,5,44,43,258,26.6,3.16,8.72,2.12,5.76,1.88,2.24,0.88,3.52,4.4,3.56,1.48,0.2,1.76,1.72,10.32,7.9,0.470,0.627,0.229,5.700,12.800,9.300,11.300,1.500,0.800,17.700,19.800,-0.4,0.3,-0.1,-0.009,-3.8,-1.6,-5.5,-0.3
1628978,Donte DiVincenzo,6,2021-22,TOT,25.0,42,1,1005.0,118,336,0.351,74,218,0.339,70,83,0.843,40,130,170,118,48,8,72,69,380,23.928571428571427,2.8095238095238093,8.0,1.7619047619047619,5.190476190476191,1.6666666666666667,1.9761904761904763,0.9523809523809523,3.0952380952380953,4.0476190476190474,2.8095238095238093,1.1428571428571428,0.19047619047619047,1.7142857142857142,1.6428571428571428,9.047619047619047,13.0,0.532,0.661,0.257,3.600,14.500,9.000,18.600,2.700,0.700,15.400,18.500,0.2,0.6,0.8,0.058,-0.8,0.2,-0.6,0.2
1628978,Donte DiVincenzo,7,2022-23,GSW,26.0,72,36,1894.0,235,540,0.435,150,378,0.397,58,71,0.817,80,245,325,252,97,10,112,133,678,26.305555555555557,3.263888888888889,7.5,2.0833333333333335,5.25,0.8055555555555556,0.9861111111111112,1.1111111111111112,3.4027777777777777,4.513888888888889,3.5,1.3472222222222223,0.1388888888888889,1.5555555555555556,1.8472222222222223,9.416666666666666,12.8,0.593,0.700,0.131,4.700,14.000,9.400,17.300,2.400,0.500,16.400,15.100,1.9,2.3,4.2,0.106,-0.6,1.3,0.7,1.3
1628978,Donte DiVincenzo,8,2023-24,NYK,27.0,81,63,2360.0,445,1004,0.443,283,705,0.401,86,114,0.754,63,234,297,216,107,36,113,166,1259,29.135802469135804,5.493827160493828,12.395061728395062,3.493827160493827,8.703703703703704,1.0617283950617284,1.4074074074074074,0.7777777777777778,2.888888888888889,3.6666666666666665,2.6666666666666665,1.3209876543209877,0.4444444444444444,1.3950617283950617,2.049382716049383,15.54320987654321,16.0,0.597,0.702,0.114,3.000,11.200,7.100,13.700,2.300,1.400,9.700,21.300,3.6,3.0,6.6,0.135,2.5,0.9,3.4,3.2
1628978,Donte DiVincenzo,9,2024-25,MIN,28.0,40,8,1057.0,148,373,0.397,103,279,0.369,41,50,0.82,23,124,147,144,48,7,71,62,440,26.425,3.7,9.325,2.575,6.975,1.025,1.25,0.575,3.1,3.675,3.6,1.2,0.175,1.775,1.55,11.0,12.7,0.557,0.748,0.134,2.400,12.800,7.700,19.800,2.200,0.600,15.200,19.100,0.6,1.4,2.0,0.091,-0.1,1.0,0.8,0.8
1630183,Jaden McDaniels,1,2020-21,MIN,20.0,63,27,1511.0,164,367,0.447,72,198,0.364,27,45,0.6,52,180,232,71,35,60,47,172,427,23.984126984126984,2.6031746031746033,5.825396825396825,1.1428571428571428,3.142857142857143,0.42857142857142855,0.7142857142857143,0.8253968253968254,2.857142857142857,3.6825396825396823,1.126984126984127,0.5555555555555556,0.9523809523809523,0.746031746031746,2.7301587301587302,6.777777777777778,8.9,0.552,0.540,0.123,3.600,13.400,8.300,6.400,1.100,3.400,10.800,12.000,0.5,0.9,1.4,0.046,-3.3,-0.2,-3.5,-0.6
